Iteration, Correct Rate, Training Error
0, 0.3333333333333333, 0.12073221469492049
10, 0.3333333333333333, 0.10716652711723376
20, 0.33369444444444446, 0.09250570934401109
30, 0.33458333333333334, 0.0828971012382074
40, 0.3354833333333334, 0.07584362494445801
50, 0.33686666666666676, 0.07054915646824268
60, 0.3383777777777777, 0.0665700167254994
70, 0.33926666666666666, 0.06348391774070464
80, 0.3403277777777778, 0.06091862646131105
90, 0.3411888888888889, 0.05883588113623188
100, 0.34218333333333323, 0.05709989515782432
110, 0.3429500000000001, 0.055739992561703686
120, 0.3438222222222222, 0.05472936820564749
130, 0.3450944444444445, 0.053829371669039595
140, 0.3461444444444444, 0.05304395009454807
150, 0.3468388888888888, 0.052438540402307304
160, 0.34764444444444453, 0.05194428289631128
170, 0.3486444444444444, 0.051455975183885054
180, 0.3496888888888888, 0.0511352705532162
190, 0.35067777777777775, 0.050825007236732285
200, 0.35139444444444445, 0.05052592365216357
210, 0.3524, 0.05024144156562273
220, 0.35359999999999997, 0.049981629496974204
230, 0.3538388888888889, 0.04980844513423542
240, 0.3546666666666668, 0.049682377694024164
250, 0.3554888888888888, 0.04957429056388167
260, 0.3559833333333333, 0.049499387276861026
270, 0.35704444444444444, 0.049546842878840196
280, 0.35811666666666664, 0.04940988468797906
290, 0.3586111111111111, 0.049324272470907635
300, 0.3589388888888889, 0.04926064091226777
310, 0.35967222222222234, 0.04930397667084033
320, 0.36033888888888893, 0.049473388795272084
330, 0.36109999999999987, 0.04950234902245212
340, 0.36191666666666666, 0.04951589442419757
350, 0.3628333333333334, 0.04966188681655852
360, 0.3624333333333334, 0.04980311004530394
370, 0.36347222222222214, 0.04984537881566859
380, 0.3638333333333334, 0.05003801666325832
390, 0.3645, 0.05014507928164728
400, 0.36523333333333335, 0.05018499544021153
410, 0.36578333333333324, 0.050222660322774
420, 0.3662555555555555, 0.0502829210995831
430, 0.3667944444444444, 0.050689962850983435
440, 0.3673166666666666, 0.050815980624789196
450, 0.36766666666666664, 0.050770593095029536
460, 0.36847222222222237, 0.050842008202728106
470, 0.36895555555555554, 0.050738505014295616
480, 0.3696944444444445, 0.05093344517712935
490, 0.3702777777777778, 0.05103229512836964
500, 0.3707500000000001, 0.05103219139882886
510, 0.3714000000000001, 0.05099414801894781
520, 0.37126666666666674, 0.051043994075996475
530, 0.3715222222222223, 0.05117895312010171
540, 0.3718333333333335, 0.05121184404049105
550, 0.37215000000000004, 0.05135798788597882
560, 0.37252777777777774, 0.051433634892385
570, 0.37285555555555555, 0.0515199530793609
580, 0.37325, 0.05162990152196215
590, 0.3736666666666667, 0.051792991600549516
600, 0.3741277777777779, 0.05197767344865653
610, 0.37448333333333333, 0.052042422189128995
620, 0.3742833333333334, 0.052168824408255175
630, 0.37498888888888887, 0.052093092794309744
640, 0.3750833333333334, 0.052410866576824665
650, 0.3759666666666666, 0.052320619774812255
660, 0.3758222222222223, 0.052371243098574244
670, 0.37669444444444455, 0.05235335666408083
680, 0.3767388888888889, 0.05238389657242041
690, 0.37701111111111113, 0.05252007738710229
700, 0.3778777777777778, 0.05255858454750072
710, 0.3776777777777776, 0.052650090183261895
720, 0.3781722222222222, 0.052655008760959555
730, 0.3784500000000001, 0.052825105746169124
740, 0.3784888888888888, 0.05296274686580345
750, 0.37902777777777774, 0.05310519963831428
760, 0.37927777777777777, 0.053218836787808005
770, 0.37932777777777776, 0.053205810815391975
780, 0.38038333333333335, 0.05327088869613669
790, 0.3798055555555556, 0.05332309462491802
800, 0.3801444444444445, 0.05339688575223771
810, 0.3805833333333333, 0.05390796900151248
820, 0.38102777777777774, 0.05363698592087463
830, 0.3810888888888889, 0.053744800395685514
840, 0.3810111111111111, 0.053833662526801544
850, 0.3816055555555556, 0.05382848639062831
860, 0.3817388888888889, 0.05390530016995449
870, 0.3819277777777778, 0.054021216106641325
880, 0.3818333333333334, 0.05396992735516495
890, 0.38221666666666665, 0.054057544217606626
900, 0.38306111111111113, 0.05412638642428136
910, 0.3834277777777777, 0.054170786527643865
920, 0.38353333333333334, 0.054079347483330625
930, 0.38419444444444445, 0.05423965546196479
940, 0.38377777777777783, 0.054555988559231425
950, 0.38426666666666676, 0.05467732985125125
960, 0.38432777777777777, 0.05465878076259155
970, 0.38473888888888885, 0.054613543474300835
980, 0.38480555555555557, 0.054635819638715756
990, 0.3854611111111111, 0.05466556885512231
