Generation, Average, Best, Worst
0, 0.3338568672839506, 0.444, 0
1, 0.33471987654320995, 0.444, 0
2, 0.33513108024691357, 0.444, 0
3, 0.33607368055555553, 0.44455555555555554, 0
4, 0.33766323302469137, 0.4456111111111111, 0
5, 0.33902715277777784, 0.4667222222222222, 0
6, 0.3399196836419753, 0.4747777777777778, 0
7, 0.34098745370370376, 0.475, 0
8, 0.3415161111111112, 0.475, 0
9, 0.34259565586419755, 0.47555555555555556, 0
10, 0.34466540123456785, 0.47555555555555556, 0
11, 0.34460757716049384, 0.47555555555555556, 0
12, 0.3449999537037037, 0.47555555555555556, 0
13, 0.3452421141975308, 0.47555555555555556, 0
14, 0.34513155092592585, 0.47555555555555556, 0
15, 0.34599030864197533, 0.47555555555555556, 0
16, 0.34658000771604935, 0.47555555555555556, 0
17, 0.34804854166666666, 0.47555555555555556, 0
18, 0.34824063271604944, 0.47555555555555556, 0
19, 0.3482789891975308, 0.47555555555555556, 0
