Generation, Average, Best, Worst
0, 0.03965291666666666, 0.477, 0
1, 0.04735208333333333, 0.477, 0
2, 0.052300833333333345, 0.477, 0
3, 0.058640833333333336, 0.477, 0
4, 0.06842000000000001, 0.495, 0
5, 0.06689166666666667, 0.495, 0
6, 0.06897041666666667, 0.495, 0
7, 0.06753416666666666, 0.495, 0
8, 0.07316375000000001, 0.495, 0
9, 0.07709791666666668, 0.495, 0
10, 0.08063708333333333, 0.495, 0
11, 0.08481999999999999, 0.495, 0
12, 0.08976291666666668, 0.495, 0
13, 0.09121833333333333, 0.495, 0
14, 0.09753583333333334, 0.496, 0
15, 0.09452666666666669, 0.496, 0
16, 0.10047666666666666, 0.496, 0
17, 0.10820375, 0.496, 0
18, 0.11406416666666663, 0.496, 0
19, 0.12478541666666669, 0.496, 0
20, 0.12767958333333332, 0.501, 0
21, 0.1397270833333333, 0.501, 0
22, 0.14166916666666665, 0.501, 0
23, 0.14861791666666666, 0.501, 0
24, 0.15252041666666669, 0.501, 0
25, 0.15940875000000002, 0.506, 0
26, 0.16320541666666666, 0.506, 0
27, 0.16459041666666666, 0.506, 0
28, 0.17623958333333337, 0.506, 0
29, 0.18597875, 0.506, 0
30, 0.19046583333333333, 0.506, 0
31, 0.19434083333333332, 0.506, 0
32, 0.2056133333333334, 0.508, 0
33, 0.20614083333333333, 0.508, 0
34, 0.21730208333333326, 0.508, 0
35, 0.22711166666666674, 0.508, 0
36, 0.22413791666666671, 0.508, 0
37, 0.2346583333333333, 0.508, 0
38, 0.23880958333333335, 0.508, 0
39, 0.2380758333333333, 0.508, 0
40, 0.2456, 0.508, 0
41, 0.2489983333333333, 0.508, 0
42, 0.25017625000000004, 0.508, 0
43, 0.25290875, 0.508, 0
44, 0.2610854166666666, 0.508, 0
45, 0.25957125, 0.508, 0
46, 0.26083416666666676, 0.508, 0
47, 0.2606945833333334, 0.508, 0
48, 0.2677483333333333, 0.508, 0
49, 0.27182083333333334, 0.508, 0
50, 0.2715825, 0.508, 0
51, 0.27880666666666665, 0.508, 0
52, 0.2805783333333333, 0.508, 0
53, 0.29042833333333334, 0.508, 0
54, 0.28707041666666666, 0.508, 0
55, 0.2958795833333333, 0.508, 0
56, 0.29352958333333334, 0.508, 0
57, 0.30254583333333335, 0.508, 0
58, 0.30773291666666663, 0.508, 0
59, 0.30911291666666657, 0.508, 0
60, 0.3189691666666667, 0.508, 0
61, 0.31540458333333327, 0.508, 0
62, 0.31957874999999997, 0.508, 0
63, 0.31931249999999994, 0.508, 0
64, 0.32082625000000004, 0.508, 0
65, 0.3257358333333333, 0.508, 0
66, 0.33056291666666665, 0.508, 0
67, 0.33777874999999996, 0.508, 0
68, 0.33473041666666664, 0.508, 0
69, 0.34371124999999997, 0.508, 0
70, 0.34581875, 0.508, 0
71, 0.34752875, 0.508, 0
72, 0.35326166666666664, 0.508, 0
73, 0.35578375000000007, 0.508, 0
74, 0.3614158333333333, 0.508, 0
75, 0.35599875, 0.508, 0
76, 0.3605766666666666, 0.508, 0
77, 0.3608895833333334, 0.508, 0
78, 0.3623691666666666, 0.508, 0
79, 0.36540750000000005, 0.508, 0
80, 0.37164791666666663, 0.508, 0
81, 0.37128125, 0.508, 0
82, 0.36903708333333335, 0.508, 0
83, 0.37381875000000003, 0.508, 0
84, 0.3768862499999999, 0.508, 0
85, 0.38359333333333345, 0.508, 0
86, 0.38599708333333344, 0.508, 0
87, 0.39061125, 0.508, 0
88, 0.39072916666666674, 0.508, 0
89, 0.3916225, 0.508, 0
90, 0.39243333333333325, 0.508, 0
91, 0.39221833333333334, 0.508, 0
92, 0.3938329166666667, 0.508, 0
93, 0.40040041666666676, 0.508, 0
94, 0.3948812500000001, 0.508, 0
95, 0.39143124999999995, 0.508, 0
96, 0.39301125000000003, 0.508, 0
97, 0.3966616666666667, 0.508, 0
98, 0.3985795833333334, 0.508, 0
99, 0.4017495833333334, 0.508, 0
