Generation, Average, Best, Worst
0, 0.09320427083333332, 0.5068333333333334, 0
1, 0.10083790509259262, 0.5068333333333334, 0
2, 0.10713844907407408, 0.5068333333333334, 0
3, 0.11400335648148145, 0.5125, 0
4, 0.11921201388888887, 0.5125, 0
5, 0.12918770833333332, 0.5125, 0
6, 0.1406795370370371, 0.5163333333333333, 0
7, 0.14765186342592596, 0.5163333333333333, 0
8, 0.15408546296296297, 0.5163333333333333, 0
9, 0.15843546296296296, 0.5163333333333333, 0
10, 0.16598930555555558, 0.5163333333333333, 0
11, 0.1767066203703704, 0.517, 0
12, 0.18299837962962967, 0.517, 0
13, 0.18975362268518517, 0.517, 0
14, 0.1935490046296297, 0.517, 0
15, 0.19823714120370367, 0.517, 0
16, 0.20136974537037033, 0.517, 0
17, 0.20382059027777777, 0.517, 0
18, 0.2096671527777777, 0.517, 0
19, 0.2103209606481482, 0.517, 0
20, 0.2173253472222222, 0.517, 0
21, 0.22135831018518518, 0.517, 0
22, 0.22615692129629636, 0.517, 0
23, 0.23316854166666673, 0.517, 0
24, 0.23185979166666668, 0.517, 0
25, 0.23517755787037034, 0.517, 0
26, 0.2406292708333333, 0.517, 0
27, 0.24224025462962967, 0.517, 0
28, 0.24120567129629633, 0.517, 0
29, 0.24136212962962972, 0.517, 0
30, 0.24330887731481474, 0.517, 0
31, 0.245275625, 0.517, 0
32, 0.2467948148148147, 0.517, 0
33, 0.24904753472222219, 0.517, 0
34, 0.2521442476851852, 0.517, 0
35, 0.2532269560185185, 0.517, 0
36, 0.25387461805555556, 0.517, 0
37, 0.25581952546296294, 0.517, 0
38, 0.2553764351851851, 0.517, 0
39, 0.2612877199074075, 0.517, 0
40, 0.26374881944444445, 0.517, 0
41, 0.2684291782407407, 0.517, 0
42, 0.2708086342592593, 0.517, 0
43, 0.2733722569444444, 0.517, 0
44, 0.275527824074074, 0.517, 0
45, 0.2774604976851851, 0.517, 0
46, 0.2843347222222221, 0.517, 0
47, 0.2892979745370371, 0.517, 0
48, 0.29183209490740736, 0.517, 0
49, 0.29785350694444435, 0.517, 0
50, 0.3020621064814814, 0.517, 0
51, 0.30604618055555544, 0.517, 0
52, 0.30652598379629636, 0.517, 0
53, 0.3105919791666667, 0.517, 0
54, 0.31176284722222225, 0.517, 0
55, 0.31439906250000005, 0.517, 0
56, 0.3173090509259259, 0.517, 0
57, 0.3196523263888889, 0.517, 0
58, 0.32029001157407405, 0.517, 0
59, 0.3210088657407406, 0.517, 0
60, 0.3230485648148147, 0.517, 0
61, 0.32605848379629626, 0.517, 0
62, 0.3284277314814814, 0.517, 0
63, 0.3308493518518517, 0.517, 0
64, 0.3327474421296296, 0.517, 0
65, 0.33432074074074086, 0.517, 0
66, 0.3402491666666667, 0.517, 0
67, 0.34238697916666666, 0.517, 0
68, 0.3455756134259259, 0.517, 0
69, 0.3488545486111112, 0.517, 0
